Testing dimensions set Row C = 10, Col C = 10, Col A =10: PASSED...
Testing dimensions set Row C = 10, Col C = 10, Col A =100: PASSED...
Testing dimensions set Row C = 10, Col C = 10, Col A =700: PASSED...
Testing dimensions set Row C = 10, Col C = 100, Col A =10: PASSED...
Testing dimensions set Row C = 10, Col C = 100, Col A =100: PASSED...
Testing dimensions set Row C = 10, Col C = 100, Col A =700: PASSED...
Testing dimensions set Row C = 10, Col C = 700, Col A =10: PASSED...
Testing dimensions set Row C = 10, Col C = 700, Col A =100: PASSED...
Testing dimensions set Row C = 10, Col C = 700, Col A =700: PASSED...
Testing dimensions set Row C = 100, Col C = 10, Col A =10: PASSED...
Testing dimensions set Row C = 100, Col C = 10, Col A =100: PASSED...
Testing dimensions set Row C = 100, Col C = 10, Col A =700: PASSED...
Testing dimensions set Row C = 100, Col C = 100, Col A =10: PASSED...
Testing dimensions set Row C = 100, Col C = 100, Col A =100: PASSED...
Testing dimensions set Row C = 100, Col C = 100, Col A =700: PASSED...
Testing dimensions set Row C = 100, Col C = 700, Col A =10: PASSED...
Testing dimensions set Row C = 100, Col C = 700, Col A =100: PASSED...
Testing dimensions set Row C = 100, Col C = 700, Col A =700: PASSED...
Testing dimensions set Row C = 700, Col C = 10, Col A =10: PASSED...
Testing dimensions set Row C = 700, Col C = 10, Col A =100: PASSED...
Testing dimensions set Row C = 700, Col C = 10, Col A =700: PASSED...
Testing dimensions set Row C = 700, Col C = 100, Col A =10: PASSED...
Testing dimensions set Row C = 700, Col C = 100, Col A =100: PASSED...
Testing dimensions set Row C = 700, Col C = 100, Col A =700: PASSED...
Testing dimensions set Row C = 700, Col C = 700, Col A =10: PASSED...
Testing dimensions set Row C = 700, Col C = 700, Col A =100: PASSED...
Testing dimensions set Row C = 700, Col C = 700, Col A =700: PASSED...
