make: `csim.exe' is up to date.
Testing dimensions set Row C = 10, Col C = 10, Col A =10: PASSED...
Testing dimensions set Row C = 10, Col C = 10, Col A =50: PASSED...
Testing dimensions set Row C = 10, Col C = 10, Col A =100: PASSED...
Testing dimensions set Row C = 10, Col C = 50, Col A =10: PASSED...
Testing dimensions set Row C = 10, Col C = 50, Col A =50: PASSED...
Testing dimensions set Row C = 10, Col C = 50, Col A =100: PASSED...
Testing dimensions set Row C = 10, Col C = 100, Col A =10: PASSED...
Testing dimensions set Row C = 10, Col C = 100, Col A =50: PASSED...
Testing dimensions set Row C = 10, Col C = 100, Col A =100: PASSED...
Testing dimensions set Row C = 50, Col C = 10, Col A =10: PASSED...
Testing dimensions set Row C = 50, Col C = 10, Col A =50: PASSED...
Testing dimensions set Row C = 50, Col C = 10, Col A =100: PASSED...
Testing dimensions set Row C = 50, Col C = 50, Col A =10: PASSED...
Testing dimensions set Row C = 50, Col C = 50, Col A =50: PASSED...
Testing dimensions set Row C = 50, Col C = 50, Col A =100: PASSED...
Testing dimensions set Row C = 50, Col C = 100, Col A =10: PASSED...
Testing dimensions set Row C = 50, Col C = 100, Col A =50: PASSED...
Testing dimensions set Row C = 50, Col C = 100, Col A =100: PASSED...
Testing dimensions set Row C = 100, Col C = 10, Col A =10: PASSED...
Testing dimensions set Row C = 100, Col C = 10, Col A =50: PASSED...
Testing dimensions set Row C = 100, Col C = 10, Col A =100: PASSED...
Testing dimensions set Row C = 100, Col C = 50, Col A =10: PASSED...
Testing dimensions set Row C = 100, Col C = 50, Col A =50: PASSED...
Testing dimensions set Row C = 100, Col C = 50, Col A =100: PASSED...
Testing dimensions set Row C = 100, Col C = 100, Col A =10: PASSED...
Testing dimensions set Row C = 100, Col C = 100, Col A =50: PASSED...
Testing dimensions set Row C = 100, Col C = 100, Col A =100: PASSED...
@I [SIM-1] CSim done with 0 errors.
