   Compiling(apcc) ../../../matrixmath_test.c in debug mode
@I [HLS-10] Running '/opt/Xilinx/Vivado_HLS/2015.1/bin/unwrapped/lnx64.o/apcc'
            for user 'root' on host 'ubuntu' (Linux_x86_64 version 3.13.0-65-generic) on Thu Oct 01 14:08:00 CDT 2015
            in directory '/home/parallels/source_code/ECE_527_MP/mp3/parta/solution3_mm_unroll/csim/build'
@I [APCC-3] Tmp directory is /tmp/apcc_db_root/211201443726480771774
@I [APCC-1] APCC is done.
   Compiling(apcc) ../../../matrixmath.c in debug mode
@I [HLS-10] Running '/opt/Xilinx/Vivado_HLS/2015.1/bin/unwrapped/lnx64.o/apcc'
            for user 'root' on host 'ubuntu' (Linux_x86_64 version 3.13.0-65-generic) on Thu Oct 01 14:08:01 CDT 2015
            in directory '/home/parallels/source_code/ECE_527_MP/mp3/parta/solution3_mm_unroll/csim/build'
@I [APCC-3] Tmp directory is /tmp/apcc_db_root/211891443726481546192
@I [APCC-1] APCC is done.
   Generating csim.exe
Testing dimensions set Row C = 10, Col C = 10, Col A =10: PASSED...
Testing dimensions set Row C = 10, Col C = 10, Col A =50: PASSED...
Testing dimensions set Row C = 10, Col C = 10, Col A =100: PASSED...
Testing dimensions set Row C = 10, Col C = 50, Col A =10: PASSED...
Testing dimensions set Row C = 10, Col C = 50, Col A =50: PASSED...
Testing dimensions set Row C = 10, Col C = 50, Col A =100: PASSED...
Testing dimensions set Row C = 10, Col C = 100, Col A =10: PASSED...
Testing dimensions set Row C = 10, Col C = 100, Col A =50: PASSED...
Testing dimensions set Row C = 10, Col C = 100, Col A =100: PASSED...
Testing dimensions set Row C = 50, Col C = 10, Col A =10: PASSED...
Testing dimensions set Row C = 50, Col C = 10, Col A =50: PASSED...
Testing dimensions set Row C = 50, Col C = 10, Col A =100: PASSED...
Testing dimensions set Row C = 50, Col C = 50, Col A =10: PASSED...
Testing dimensions set Row C = 50, Col C = 50, Col A =50: PASSED...
Testing dimensions set Row C = 50, Col C = 50, Col A =100: PASSED...
Testing dimensions set Row C = 50, Col C = 100, Col A =10: PASSED...
Testing dimensions set Row C = 50, Col C = 100, Col A =50: PASSED...
Testing dimensions set Row C = 50, Col C = 100, Col A =100: PASSED...
Testing dimensions set Row C = 100, Col C = 10, Col A =10: PASSED...
Testing dimensions set Row C = 100, Col C = 10, Col A =50: PASSED...
Testing dimensions set Row C = 100, Col C = 10, Col A =100: PASSED...
Testing dimensions set Row C = 100, Col C = 50, Col A =10: PASSED...
Testing dimensions set Row C = 100, Col C = 50, Col A =50: PASSED...
Testing dimensions set Row C = 100, Col C = 50, Col A =100: PASSED...
Testing dimensions set Row C = 100, Col C = 100, Col A =10: PASSED...
Testing dimensions set Row C = 100, Col C = 100, Col A =50: PASSED...
Testing dimensions set Row C = 100, Col C = 100, Col A =100: PASSED...
@I [SIM-1] CSim done with 0 errors.
