1969-12-31 18:09:51 startup archives unpack
1969-12-31 18:09:54 upgrade librhythmbox-core5 2.96-0ubuntu4 2.96-0ubuntu4.3
1969-12-31 18:09:54 status half-configured librhythmbox-core5 2.96-0ubuntu4
1969-12-31 18:09:54 status unpacked librhythmbox-core5 2.96-0ubuntu4
1969-12-31 18:09:54 status half-installed librhythmbox-core5 2.96-0ubuntu4
1969-12-31 18:09:54 status half-installed librhythmbox-core5 2.96-0ubuntu4
1969-12-31 18:09:54 status unpacked librhythmbox-core5 2.96-0ubuntu4.3
1969-12-31 18:09:54 status unpacked librhythmbox-core5 2.96-0ubuntu4.3
1969-12-31 18:09:57 startup packages configure
1969-12-31 18:09:57 configure librhythmbox-core5 2.96-0ubuntu4.3 <none>
1969-12-31 18:09:57 status unpacked librhythmbox-core5 2.96-0ubuntu4.3
1969-12-31 18:09:57 status half-configured librhythmbox-core5 2.96-0ubuntu4.3
1969-12-31 18:09:57 status installed librhythmbox-core5 2.96-0ubuntu4.3
1969-12-31 18:09:57 status triggers-pending libc-bin 2.15-0ubuntu10.12
1969-12-31 18:09:57 configure rhythmbox 2.96-0ubuntu4.3 <none>
1969-12-31 18:09:57 status unpacked rhythmbox 2.96-0ubuntu4.3
1969-12-31 18:09:57 status half-configured rhythmbox 2.96-0ubuntu4.3
1969-12-31 18:09:59 status installed rhythmbox 2.96-0ubuntu4.3
1969-12-31 18:09:59 configure rhythmbox-plugin-magnatune 2.96-0ubuntu4.3 <none>
1969-12-31 18:09:59 status unpacked rhythmbox-plugin-magnatune 2.96-0ubuntu4.3
1969-12-31 18:09:59 status half-configured rhythmbox-plugin-magnatune 2.96-0ubuntu4.3
1969-12-31 18:09:59 status installed rhythmbox-plugin-magnatune 2.96-0ubuntu4.3
1969-12-31 18:09:59 configure rhythmbox-plugin-zeitgeist 2.96-0ubuntu4.3 <none>
1969-12-31 18:09:59 status unpacked rhythmbox-plugin-zeitgeist 2.96-0ubuntu4.3
1969-12-31 18:09:59 status half-configured rhythmbox-plugin-zeitgeist 2.96-0ubuntu4.3
1969-12-31 18:10:00 status installed rhythmbox-plugin-zeitgeist 2.96-0ubuntu4.3
1969-12-31 18:10:00 configure rhythmbox-plugin-cdrecorder 2.96-0ubuntu4.3 <none>
1969-12-31 18:10:00 status unpacked rhythmbox-plugin-cdrecorder 2.96-0ubuntu4.3
1969-12-31 18:10:00 status half-configured rhythmbox-plugin-cdrecorder 2.96-0ubuntu4.3
1969-12-31 18:10:00 status installed rhythmbox-plugin-cdrecorder 2.96-0ubuntu4.3
1969-12-31 18:10:00 configure rhythmbox-mozilla 2.96-0ubuntu4.3 <none>
